"isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"http://pt.wikipedia.org/wiki/Universidade_Municipal_de_São_Caetano_do_Sul","","","","","","USCS","","","","","","Universidade Municipal de São Caetano do Sul","Faculdade Municipal de Ciências Econômicas, Políticas e Sociais (1968 — 1970);;;Instituto Municipal de Ensino Superior de São Caetano do Sul (1970 — 2007);;Universidade Municipal de São Caetano do Sul",""
"http://pt.wikipedia.org/wiki/Partido_Novo","","","","","","","","","","","","Partido Novo","Partido Novo",""
"http://pt.wikipedia.org/wiki/Cerezo_Osaka","","","","","","","","","","","","Cerezo Osaka","Cerezo Osaka",""
"http://pt.wikipedia.org/wiki/Sunny_Day_Real_Estate","","","","","","","","","","","","Sunny Day Real Estate","Sunny Day Real State",""
"http://pt.wikipedia.org/wiki/Futbolniy_Klub_Mordoviya","","","","","","","","","","","","Futbolniy Klub Mordoviya","Football Club Mordovia Saransk;;Mordovia Saransk",""
"http://pt.wikipedia.org/wiki/Herva_Doce","","","","","","","","","","","","Herva Doce","Herva Doce",""
"http://pt.wikipedia.org/wiki/Futbol_Klubu_Neftchi","","","","","","","","","","","","Futbol Klubu Neftchi","Neftchi",""
"http://pt.wikipedia.org/wiki/Temple_of_Blood","","","","","","","","","","","","Temple of Blood","Temple of Blood",""
"http://pt.wikipedia.org/wiki/Racing_Club_de_Montevideo","","","","","","La Academia;;La Escuelita","","","","","","Racing Club de Montevideo","Racing",""
"http://pt.wikipedia.org/wiki/União_Europeia_de_Futebol_de_Salão","","","","","","","","","","","","União Europeia de Futebol de Salão","União Europeia de Futebol de Salão",""
"http://pt.wikipedia.org/wiki/Clermont_Foot_Auvergne_63","","","","","","","","","","","","Clermont Foot Auvergne 63","Clermont Foot;;Clermont Foot Auvergne 63",""
"http://pt.wikipedia.org/wiki/Banco_da_República_do_Haiti","","","","","","","","","","","","Banco da República do Haiti","Banque de la République d'Haïti",""
"http://pt.wikipedia.org/wiki/Paz_e_Harmonia","","","","","","","","","","","","Paz e Harmonia","Paz e Harmonia",""
"http://pt.wikipedia.org/wiki/Finntroll","","","","","","","","","","","","Finntroll","Finntroll",""
"http://pt.wikipedia.org/wiki/The_Fall_(banda)","","","","","","","","","","","","The Fall (banda)","The Fall",""
"http://pt.wikipedia.org/wiki/Tripod","","","","","","","","","","","","Tripod","Tripod",""
"http://pt.wikipedia.org/wiki/Fejd","","","","","","","","","","","","Fejd","Fejd",""
"http://pt.wikipedia.org/wiki/Luftflotte_4","","","","","","","","","","","","Luftflotte 4","Luftflotte 4",""
"http://pt.wikipedia.org/wiki/Ma-Lu","","","","","","","","","","","","Ma-Lu","Ma-Lu",""
"http://pt.wikipedia.org/wiki/Black_Axe","","","","","","","","","","","","Black Axe","Black Axe",""
"http://pt.wikipedia.org/wiki/Thyrfing","","","","","","","","","","","","Thyrfing","Thyrfing",""
"http://pt.wikipedia.org/wiki/105_FM_(Guaramirim)","","","","","","","","","","","","105 FM (Guaramirim)","105 FM;;DJ Comunicações e Exploração de  Radiofusão Ltda",""
