"birthName","pseudonym","isPrimaryTopicOf","abbreviation","alternativeName","commonName","familyName","givenName","nick","surname","formerName","longName","dboName","originalName","label","foafName","alias"
"","","http://pt.wikipedia.org/wiki/Ivan_Udodov","","","","","","","","","","","","Ivan Udodov","Ivan Udodov;;Ivan Vassilievitch Udodov",""
"","","http://pt.wikipedia.org/wiki/Heath_Herring","","","","","","","","","","","","Heath Herring","Heath Herring",""
"","","http://pt.wikipedia.org/wiki/Cidinha_Campos","","","","","","","","","","","","Cidinha Campos","Cidinha Campos",""
"","","http://pt.wikipedia.org/wiki/Martin_Hvastija","","","","","","","","","","","","Martin Hvastija","Martin Hvastija",""
"","","http://pt.wikipedia.org/wiki/Nelson_Pelegrino","","","","","","","","","","","","Nelson Pelegrino","Nelson Pelegrino",""
"","","http://pt.wikipedia.org/wiki/Felipe_Machado","","","","","","","","","","","","Felipe Machado","",""
"","","http://pt.wikipedia.org/wiki/Alfred_Bloch","","","","","","","","","","","","Alfred Bloch","Alfred Bloch",""
"","Dr. Nagib; Dr. Roberto","http://pt.wikipedia.org/wiki/Freddie_Perdigão_Pereira","","","","","","","","","","","","Freddie Perdigão Pereira","Freddie Perdigão Pereira",""
"","","http://pt.wikipedia.org/wiki/Carlos_da_Dinamarca","","","","","","","","","","","","Carlos da Dinamarca","Carlos",""
"","","http://pt.wikipedia.org/wiki/Philippe_Ermenault","","","","","","","","","","","","Philippe Ermenault","Philippe Ermenault",""
"Makoto Takashi Kuwata","","http://pt.wikipedia.org/wiki/Kong_Kuwata","","","","","","","","","","","","Kong Kuwata","Kong Kuwata",""
"","","http://pt.wikipedia.org/wiki/Charles_N'Zogbia","","","","","","","","","","","","Charles N'Zogbia","Charles N'Zogbia",""
"","","http://pt.wikipedia.org/wiki/Jesse_Duplantis","","","","","","","","","","","","Jesse Duplantis","Jesse Duplantis",""
"","","http://pt.wikipedia.org/wiki/Jörg_Roßkopf","","","","","","","","","","","","Jörg Roßkopf","Jörg Roßkopf",""
"","","http://pt.wikipedia.org/wiki/Hector_Edwards","","","","","","","","","","","","Hector Edwards","Hector Edwards",""
"","","http://pt.wikipedia.org/wiki/Wilhelm_Bromen","","","","","","","","","","","","Wilhelm Bromen","Wilhelm Bromen",""
"","","http://pt.wikipedia.org/wiki/João_Denoni","","","","","","","","","","","","João Denoni","João Denoni;;João Denoni Júnior",""
"","","http://pt.wikipedia.org/wiki/Max_Martins","","","","","","","","","","","","Max Martins","",""
"","","http://pt.wikipedia.org/wiki/Mario_Trejo_(futebolista)","","","","","","","","","","","","Mario Trejo (futebolista)","Mario Trejo",""
"","","http://pt.wikipedia.org/wiki/Roger_Loysch","","","","","","","","","","","","Roger Loysch","Roger Loysch",""
"","","http://pt.wikipedia.org/wiki/Noel_Luces","","","","","","","","","","","","Noel Luces","Noel Luces",""
"","","http://pt.wikipedia.org/wiki/Peter_Wilhelm_Friedrich_von_Voigtländer","","","","","","","","","","","","Peter Wilhelm Friedrich von Voigtländer","Peter Wilhelm Friedrich von Voigtländer",""
"","","http://pt.wikipedia.org/wiki/Mário_Henrique_Simonsen","","","","","","","","","","","","Mário Henrique Simonsen","Mário Henrique Simonsen",""
"Sean Patrick Hayes","","http://pt.wikipedia.org/wiki/Sean_Hayes","","","","","","Sean P. Hayes, Sean Patrick Hayes","","","","","","Sean Hayes","Sean Hayes","Sean P. Hayes, Sean Patrick Hayes"
"Fernando Enrique Carrillo Rosellies","","http://pt.wikipedia.org/wiki/Fernando_Carrillo","","","","","","","","","","","","Fernando Carrillo","Fernando Carrillo",""
"","","http://pt.wikipedia.org/wiki/Delio_Toledo","","","","","","","","","","","","Delio Toledo","Delio César Toledo Rodas;;Delio Toledo",""
"","","http://pt.wikipedia.org/wiki/Vevé_Calasans","","","","","","","","","","","","Vevé Calasans","Vevé Calazans",""
"Brian Gilbert Barnes","","http://pt.wikipedia.org/wiki/Brian_Surewood","","","","","","Brian Sherwood","","","","","","Brian Surewood","Brian Surewood",""
"","","http://pt.wikipedia.org/wiki/Heinrich_Rheinboldt","","","","","","","","","","","","Heinrich Rheinboldt","Heinrich Rheinboldt",""
